af,ar,be,bn,bg,ca,zh_CN,zh_TW,hr,cs,da,nl,en,en_GB,et,fi,fr,gl,ka,de,el,gu,hi,hu,id,it,ja,km,ko,lt,ms,mr,nb,nn,fa,pl,pt,pt_BR,pa,ro,ru,sr,sk,sl,es,sv,ta,th,tr,uk
,لتجاوز هذه المشكلة، حوِل قسم MBR القديم إلى GPT.,,,,"El microprogramari modern té un recollidor de porqueria que recull entrades esborrades i allibera la memòria reservada per a entrades antigues. Sorgeix un problema quan un microprogramari és defectuós i no ho fa, això pot arribar a suposar que un sistema que no arrenqui.",<emphasis>背景：</emphasis> 有些 UEFI 固件存在问题，会导致在向 UEFI 存储区域写入过多的数据时损坏。但是并没有清晰的数据来界定多少为<quote>过多</quote>。,簡單的替代解決方案是：轉換傳統的 MBR 分割區成為新的 GPT 分割區以完整的避免此問題。,,"Moderní firmware má garbage collector, který sbírá smazané položky a uvolňuje paměť, která byla pro ně rezervována. Když chybný firmware tyto položky nesbírá a neuvolňuje, nastává problém, který může skončit nezaveditelným systémem.",Konvertér gamle MBR-partitioner til GPT for at omgå dette problem.,Moderne firmware heeft een garbage-collector die verwijderde items verzameld en het voor oude items gereserveerde geheugen vrijmaakt. Er ontstaat een probleem wanneer defecte firmware dit niet verzamelt en deze items niet vrijmaakt; dit kan eindigen met een systeem dat niet opgestart kan worden.,"For more information about upgrading to a current openSUSE version, see <link xlink:href=""https://en.opensuse.org/SDB:System_upgrade""/>.","To work around this problem, convert the legacy MBR partition to GPT.",,"Uusiin laiteohjelmistoihin kuuluu roskienkeruu, joka kokoaa poistetut tietueet ja vapauttaa niiden varaaman muistin. Ongelmia seuraa, jos virheellinen laiteohjelmisto ei tee tätä: tällöin seurauksena voi olla käynnistyskelvoton järjestelmä.",Un microprogramme moderne dispose d'un nettoyeur qui collecte les entrées supprimées et libère la mémoire réservées aux anciennes entrées. Un problème se présente lorsqu'un microprogramme défectueux ne collecte pas et ne libère pas ces entrées. Ceci peut amener le système à ne plus pouvoir démarrer.,"Particións UEFI, GPT e MS-DOS",,"Moderne Firmware hat einen Garbage Collector (Aufräum-Mechanismus), der gelöschte Einträge sammelt und den Speicherplatz freigibt, der von alten Einträgen belegt war. Es kommt zu einem Problem, wenn eine fehlerhafte Firmware die alten Einträge nicht sammelt und von diesen Einträgen befreit. Das kann dazu führen, dass das System nicht mehr startet.","Για την αντιμετώπιση αυτού του προβλήματος, μετατρέψτε την κατάτμηση legacy MBR σε GPT.",,,,"UEFI, GPT, dan Partisi MS-DOS","UEFI, GPT e partizioni MS-DOS",また、新しいファームウエアには、削除された項目を収集して古い項目用に確保したメモリを解放する、ガーベージコレクタ機能が用意されています。ファームウエアに不具合があると、これらの古い項目を収集できなかったり、メモリを解放しなかったりする場合があり、これにより起動が不可能になる場合があります。,,,,"Untuk penyelesaian, tukarkan partition legasi MBR ke GPT.","या समस्येवर उपाय म्हणून, लेगसी एमबीआर विभाजन जीपीटीमध्ये रूपांतरित करा.","Løsningen er enkel: Konverter den gamle MBR-partisjonen til GPT, så unngår du problemer.","Løsningen er enkel: Konverter den gamle MBR-partisjonen til GPT, så unngår du problemer.",فریم ور های امروزی دارای قسمت جمع آور داده ناخواسته هستند که ورودی های حذف شده را جمع آوری کرده و حافظه ی رزرو شده برای ورودی حای قدیمی را آزاد میکند. در زمانی که فریم ور معیوب آن ورودی ها را جمع آوری و آزاد نمیکند، یک مشکل رخ میدهد; این میتواند باعث شود سیستم غیر قابل بوت شود.,Nowoczesny firmware posiada kolektor śmieci który zbiera usunięte wpisy i uwalnia pamięć zarezerwowaną dla starego wpisu.Problem powstaje gdy wadliwy firmware nie zbiera i uwalnia tych wpisów. Może to doprowadzić do problemów z uruchomieniem systemu.,"Firmware moderno possui uma forma de recolha de lixo que reúne entradas e liberta memória reservada a entradas antigas. Problemas ocorrem quando Firmware defeituoso não faz a recolha desse lixo e liberta as entradas, isto poderá resultar na incapacidade do sistema arrancar.",Firmwares modernos têm um coletor de lixo que coleta entradas removidas e libera a memória reservada para entradas antigas. Um problema pode ocorrer quando um firmware problemático não coleta e libera estas entradas. Isto pode resultar em um sistema não inicializável.,,,"В современных прошивках есть сборщик мусора, собирающий удалённые записи и освобождающий память, зарезервированную под старые записи. Проблема возникает в случае, когда глючная прошивка не освобождает такие записи; это может привести к невозможности загрузки системы.",,"Moderný firmware má garbage collector, ktorý zhromažďuje vymazané záznamy a uvoľňuje pamäť vyhradenú pre staré záznamy. Problém nastáva, keď chybný firmware nezhromažďuje a neuvoľňuje záznamy; môže to skončiť s nespustiteľným systémom.","Moderna strojna programska oprema vsebuje sprostitveni zbiralnik, ki zbere izbrisane vnose in sprosti pomnilnik rezerviran za stare vnose. Do težave pride, ko strojna programska oprema z napakami ne zbere in ne sprosti prostora za te vnose. To lahko povzroči, da sistema ni več mogoče zagnati.","Particiones de tipo UEFI, GPT y MS-DOS",Moderna firmware har en soptunnehanterare som registrerar de borttagna ID:en och frigör minnet som är reserverat för dessa. Felaktiga firmware som inte lyckas frigöra dessa resurser kan leda till att datorn inte längre kan starta.,,,,"Щоб уникнути подібних проблем, змініть застарілий розділ MBR у новий GPT."
Stelselarea-items,ترقية النظام,,সিস্টেমের ক্ষেত্রের বিষয়গুলি,Система,La solució provisional és simple: convertir la partició de llegat MBR a GPT.,openSUSE 仅写入可以引导操作系统所需的最小数据，从而将该风险控制在最低。最小数据意味着告知 UEFI 固件 openSUSE 引导加载器的位置。我们默认禁用了上游 Linux 内核使用 UEFI 存储区域存放引导和崩溃信息（<literal>pstore</literal>）的功能。然而还是推荐安装硬件制造商推荐的任何固件更新。,系統升級,Nadogradnja sustava,"Abyste se tomuto problému vyhnuli, zkonvertujte starší oddíly MBR na GPT.",Systemopgradering,Er omheen werken is eenvoudig: converteer de verouderde MBR-partitie naar GPT.,"If you upgrade from an older version to this openSUSE Leap release, see previous release notes listed here: <link xlink:href=""https://en.opensuse.org/openSUSE:Release_Notes""/>.",System Upgrade,Süsteemi ala elemendid,Kiertääksesi ongelman muunna vanha MBR-osio GPT:ksi.,"Pour contourner ce problème, convertissez l'ancienne partition MBR en nouvelle partition GPT.",Xunto coa especificación EFI/UEFI chegou un novo estilo de particionamento: GPT (GUID Partition Table). Este novo esquema usa identificadores únicos globais (valores de 128-bit mostrados coma 32 díxitos hexadecimais) para identificar dispositivos e tipos de particións.,,"Konvertieren Sie die herkömmliche MBR-Partition in eine GPT-Partition, um das Problem gänzlich zu vermeiden.",Αναβάθμιση Συστήματος,સિસ્ટમ વિસ્તારની વસ્તુઓ,सिस्टम अपग्रेड,Rendszerfrissítés,"Bersama dengan spesifikasi EFI/UEFI, gaya partisi baru telah hadir: GPT (GUID Partition Table). Skema baru ini menggunakan pengidentifikasi unik global (nilai 128-bit ditampilkan dalam 32 digit heksadesimal) untuk mengidentifikasi lebih banyak perangkat dan tipe partisi.",Assieme alla specifica EFI/UEFI è arrivato un nuovo stile di partizionamento: GPT (Tabella delle Partizioni GUID). Questo nuovo schema usa identificatori univoci globali (valori a 128 bit rappresentati con 32 caratteri esadecimali) per identificare dispositivi e tipi di partizione.,このような問題が発生した場合は、古い MBR 形式のパーティションを GPT 形式のパーティションに更新して、問題を回避してください。,ការ​ធ្វើ​ឲ្យ​ប្រព័ន្ធ​ប្រសើរ​ឡើង,시스템 업그레이드,,Naik Taraf Sistem,सिस्टम श्रेणीसुधार,Systemoppgradering,Systemoppgradering,روش کلی رفع این مشکل ساده است، پارتیشن MBR موروثی را به GPT تبدیل کنید.,"W celu ominięcia problemu, przekształć stare partycje MRB na GPT.","Para contornar este problema, converta a partição legado MBR em GPT.","Para corrigir este problema, converta a partição antiga MBR para GPT.",ਸਿਸਟਮ ਏਰੀਆ ਆਈਟਮਾਂ,,"Чтобы обойти эту проблему, сконвертируйте устаревший раздел MBR в новый GPT.",Надоградње,"Ak chcete tento problém vyriešiť, zmeňte starší MBR diskový oddiel na GPT.",To težavo lahko zaobidete s pretvorbo zastarelega razdelka MBR v novi GPT.,"Junto con la especificación EFI/UEFI, ha llegado un nuevo estilo de particionamiento: GPT (GUID Partition Table). Este nuevo esquema usa identificadores globalmente únicos (valores de 128-bit mostrados como 32 dígitos hexadecimales) para identificar dispositivos y tipos de particiones.",Omvandla MBR-partitionerna till GPT för att komma runt problemet .,சிஸ்டம் ஏரியாவின் பொருட்கள்,อัพเกรดระบบ,Sistem,Оновлення системи
,"يعرض هذا المقطع ملاحظات تتعلق بتحسين النظام. للحصول على إرشادات مفصلة للترقية، راجع الوثائق في <link xlink:href=""https://doc.opensuse.org/documentation/leap/startup/html/book.opensuse.startup/cha.update.osuse.html""/>.",,,"Тази секция съдържа бележки свързани със инсталацията. За детайлни инструкции как да надстроите, моля консултирайте се с документацията на <link href=""https://doc.opensuse.org/documentation/leap/startup/html/book.opensuse.startup/part.basics.html""/>.",Actualització del sistema,UEFI、GPT 和 MS-DOS 分区,這個小節列出了與系統升級有關的注意事項。欲了解支援的升級場景以及詳細的升級步驟，請見：,,Povýšení systému,"Dette afsnit oplister noter relateret til opgradering af systemet. For understøttede scenarier og detaljerede instruktioner, se sokumentationen på:",Systeemopwaardering,"<phrase condition=""beta"">This public beta test is part of the openSUSE project.</phrase> Information about the project is available at <link xlink:href=""https://www.opensuse.org""/>.",,,Järjestelmäpäivitys,Mise à niveau du système,"Ademais, a especificación UEFI tamén permite particións tradicionais MBR (MS-DOS). Os cargadores de arranque de GNU/Linux (ELILO ou GRUB2) tratan de xerar automaticamente un GUID para esas particións tradicionais e gravalos no firmware. Ese GUID pode cambiar frecuentemente, causando unha reescrita no firmware. Unha reescrita consta de dúas operacións distintas: quitar a entrada antiga e crear unha nova que substitúa á primeira.",,System-Upgrade,"Αυτός ο τομέας περιλαμβάνει σημειώσεις σχετικές με την αναβάθμιση του συστήματος. Για περισσότερες πληροφορίες, δείτε την τεκμηρίωση στο <link xlink:href=""https://doc.opensuse.org/documentation/leap/startup/html/book.opensuse.startup/cha.update.osuse.html""/>.",,,,"Selain itu, spesifikasi UEFI juga memungkinkan partisi MBR (MS-DOS) lama. Boot loader Linux (ELILO atau GRUB 2) mencoba membuat GUID secara otomatis untuk partisi lama tersebut, dan menulisnya ke perangkat tegar (firmware). GUID seperti itu dapat sering berubah, menyebabkan penulisan ulang di perangkat tegar (firmware). Penulisan ulang terdiri dari dua operasi berbeda: Menghapus entri lama dan membuat entri baru yang menggantikan entri pertama.",La specifica UEFI permette inoltre le partizioni obsolete MBR (MS-DOS). I boot loader Linux (ELILO o GRUB2) cercano di generare automaticamente un GUID per tali partizioni obsolete e di scriverlo nel firmware. Tale GUID può cambiare frequentemente causando la riscrittura nel firmware. Una riscrittura è composta da due operazioni diverse: rimozione della vecchia voce e creazione di una nuova voce che sostituisce la prima.,システムアップグレード,,,,"Bahagian ini menyenaraikan nota berkaitan tentang menaik taraf sistem. Untuk arahan naik taraf terperinci, lihat dokumentasi di <link href=""https://doc.opensuse.org/documentation/leap/startup/html/book.opensuse.startup/cha.update.osuse.html""/>.","या विभागात प्रणाली सुधारीत करण्यासंबंधीची नोट्स समाविष्टीत आहे. तपशीलवार अपग्रेड सूचनांसाठी, दस्तऐवजीकरण पहा <link href=""https://doc.opensuse.org/documentation/leap/startup/html/book.opensuse.startup/cha.update.osuse.html""/>.",,,ارتقای سیستم,Aktualizacja systemu,Atualização do sistema,Atualização do sistema,,,Обновление системы,"Овај одељак садржи напомене везане за инсталацију. За детаљна упутства за надоградњу погледајте документацију на <link href=""https://doc.opensuse.org/documentation/leap/startup/html/book.opensuse.startup/part.basics.html""/>.",Zvýšenie verzie systému,Nadgradnja sistema,"Además, la especificación UEFI también permite particiones tradicionales MBR (MS-DOS). Los cargadores de arranque de Linux (ELILO o GRUB2) tratan de generar automáticamente un GUID para esas particiones tradicionales y escribirlos al «firmware». Tal GUID puede cambiar frecuentemente, causando una escritura en el «firmware». Una escritura consta de dos operaciones distintas: quitar la entrada antigua y crear una nueva que reemplaza a la primera.",Systemuppdatering,,,,"У цьому розділі наведено примітки, пов’язані з оновленням системи. Підтримувані сценарії та детальні інструкції з оновлення див. у документації за адресою:"
,,,,,"Aquesta secció conté notes relacionades amb l'actualització del sistema. Per saber els escenaris que s'admeten i consultar unes instruccions d'actualització detallades, vegeu la documentació que hi ha aquí:",伴随着 EFI/UEFI 规范到来的是一种新的分区风格：GPT（GUID 分区表）。这种新方法使用全局唯一标识符（128 位值显示成 32 个十六进制数字）来识别设备和分区类型。,"請務必檢閱 <xref linkend=""sec.driver""/>。",,Tato sekce obsahuje poznámky k procesu povýšení systému. Podporované scénáře a podrobné instrukce jak postupovat při povýšení najdete v dokumentaci na:,,"Dit gedeelte bevat aantekeningen in verband met opwaarderen van het systeem. Voor ondersteunde scenario's en gedetailleerde instructies voor opwaarderen, bekijk de documentatie op:","Report all bugs you encounter using this prerelease of openSUSE Leap 15.6 in the openSUSE Bugzilla. For more information, see <link xlink:href=""https://en.opensuse.org/Submitting_Bug_Reports""/>. If you would like to see anything added to the release notes, file a bug report against the component <quote>Release Notes</quote>.",,,Tässä osiossa on järjestelmäpäivitystä koskevia huomioita. Tietoa tuetuista skenaarioista sekä yksityiskohtaiset päivitysohjeet löytää osoitteesta:,"Cette section liste des informations à propos de la mise à niveau du système. Pour découvrir les scénarios supportés et des instructions détaillées sur la mise à niveau, veuillez consulter la documentation sur :",Os firmware modernos incorporan un colector de lixo que recolle as entradas eliminadas e libera a memoria reservada para as entradas anteriores. Pode ocorrer un problema cando un firmware defectuoso non recolecta e libera esas entradas. Isto pode facer que o sistema non arranque.,,Dieser Abschnitt listet Hinweise zum Upgrade eines Systems. Für unterstützte Szenarien und detaillierte Upgrade-Anleitungen lesen Sie die Dokumentation unter:,,,,,Perangkat tegar (Firmware) modern memiliki pengumpul sampah yang mengumpulkan entri yang dihapus dan membebaskan memori yang disediakan untuk entri lama. Masalah muncul ketika perangkat tegar (firmware) yang salah tidak mengumpulkan dan membebaskan entri tersebut. Ini dapat mengakibatkan sistem yang tidak dapat boot.,Il firmware moderno possiede un garbage collector che raccoglie le voci cancellate e libera la memoria riservata per le vecchie voci. Un problema sorge quando un firmware difettoso non raccoglie e libera tali voci: ne potrebbe derivare un sistema non avviabile.,本章には、アップグレードに関する説明が書かれています。サポートされるシナリオと詳しいアップグレード手順については、下記で公開されている文書をお読みください:,,,,,,,,"این بخش یادداشت های مربوط به ارتقای سیستم را لیست میکند. برای دستورالعمل جزئی تر ارتقا، مستندات را در <link href=""https://doc.opensuse.org/documentation/leap/startup/html/book.opensuse.startup/cha.update.osuse.html""/> بخوانید.",Ta sekcja zawiera uwagi dotyczące aktualizacji systemu. Obsługiwane scenariusze i szczegółowe instrukcje uaktualniania można znaleźć w dokumentacji pod adresem:,"Esta secção contém notas relacionadas com a atualização do sistema. Para informações detalhadas consulte: <link href=""https://doc.opensuse.org/documentation/leap/startup/html/book.opensuse.startup/cha.update.osuse.html""/>.","Esta seção lista notas relacionadas à atualização do sistema. Para cenários suportados e instruções detalhadas sobre a atualização, veja a documentação em:",,,"В этом разделе перечислены замечания, связанные с обновлением системы. Подробные инструкции по обновлению приведены в документации по адресу:",,Táto časť obsahuje poznámky týkajúce sa zvýšenia verzie. Podporované scenáre a podrobné pokyny na zvýšenie verzie nájdete v dokumentácii na:,Ta odsek vsebuje opombe glede nadgrajevanja sistema. Za podprte scenarije in podrobna navodila za nadgrajevanje si oglejte dokumentacijo na:,Los «firmware» modernos incorporan un recolector de basura que recoge las entradas eliminadas y libera la memoria reservada para las entradas anteriores. Cuando un «firmware» defectuoso no recoge y libera esas entradas surge un problema. Ésto puede traducirse en que el sistema no arranque.,"Detta avsnitt innehåller viktig information om uppgradering av systemet. För olika understödda scenario och detaljerade instruktioner om uppgradering, se:",,,,
,تغييرات الحزم,,,,Assegureu-vos de consultar també les seccions següents d'aquesta documentació:,另外，UEFI 规范也允许传统的 MBR（MS-DOS）分区。Linux 引导加载器（ELILO 或 GRUB2）会尝试为这些传统方式的分区自动生成一个 GUID，并将它们写入到固件中。这样的 GUID 可频繁变化，导致重写固件。重写由两个不同操作组成：移除旧项和创建替代前一个项的新项。,套件變動,,Nezapomeňte si také přečíst následující části této dokumentace:,,Ten zeerste aangeraden de volgende secties van deze documentatie te bekijken:,"To report bugs against this release, use the openSUSE Bugzilla. For more information, see <link xlink:href=""https://en.opensuse.org/Submitting_Bug_Reports""/>.",,,,Assurez-vous de consulter également les sections suivantes de cette documentation :,"Para solucionar este problema, converta a partición antiga MBR a GPT.",,"Stellen Sie sicher auch  <xref linkend=""sec.driver""/> zu überprüfen.",Αλλαγές πακεταρίσματος,,,,"Untuk mengatasi masalah ini, konversi partisi MBR lama ke GPT.","Per aggirare tale problema, convertire le partizioni MBR obsolete nelle nuove GPT.",なお、本ドキュメンテーション内の下記の章もお読みください:,,,,,,,,,,,Certifique-se de rever também as seguintes seções desta documentação:,,Actualizare sistem,Обязательно ознакомьтесь также со следующими разделами этой документации:,,Nezabudnite si prečítať aj nasledujúce časti tejto dokumentácie:,"Priporočamo, da si ogledate tudi naslednje odseke te dokumentacije:","Para solucionar este problema, convierta la partición MBR en GPT.",Se även till att läsa följande avsnitt i den här dokumentationen:,,,,Зміни у пакунках
,,,,,Canvis de paquets,新式固件具有垃圾收集器，可搜集删除的项并释放内存以预留给旧项。当错误的固件不搜集并释放这些项时就会导致问题。这可能致使系统无法引导。,,,Změny v balíčkování,,Wijzigingen in pakketten,"Major new features of openSUSE Leap 15.6 are also listed at <link xlink:href=""https://en.opensuse.org/Features_15.6""/>.",,,Paketointimuutokset,Changements relatifs aux paquets,Actualización do sistema,,Änderungen beim Paketieren,,,,,Peningkatan Sistem,Aggiornamento del sistema,パッケージの変更について,,,,,,,,,Zmiany w pakietach,,Alterações nos pacotes,,,Изменения в пакетах,,Zmeny balenia,Spremembe v paketih,Actualización del sistema,Paketändringar,,,,
,,,,,Canvis importants en els paquets actualitzats,规避方法很简单：将传统的 MBR 分区转换成新的 GPT 分区来避免此问题。,,,Významné změny v aktualizovaných balíčcích,,Belangrijke wijzigingen in bijgewerkte pakketten,Installation,,,,Modifications importantes dans les mises à jour de paquets,"Esta sección contén notas relacionadas coa instalación do sistema. Para obter instruccións detalladas sobre a actualización, consulte a documentación en <link xlink:href=""https://doc.opensuse.org/documentation/leap/startup/html/book.opensuse.startup/cha.update.osuse.html""/>.",,,,,,,"Bagian ini mencantumkan catatan yang terkait dengan peningkatan sistem. Untuk skenario yang didukung dan petunjuk peningkatan terperinci, lihat dokumentasi di:","Questa sezione contiene le note relative all'aggiornamento del sistema. Per scoprire gli scenari supportati e ottenere istruzioni dettagliate sull'aggiornamento, fare riferimento alla documentazione in:",更新済みのパッケージにおける主な変更,,,,,,,,,,,Mudanças importantes em pacotes atualizados,,,Важные изменения в обновленных пакетах,,Dôležité zmeny v aktualizovaných balíkoch,Pomembne spremembe in posodobljeni paketi,"Esta sección enumera las notas relacionadas con la actualización del sistema. Para ver los escenarios admitidos y las instrucciones de actualización detalladas, consulte la documentación en:",Viktiga ändringar i uppdaterade paket,,,,
,الحزم المهملة,,,,"El paquet python-podman ara es basa en el projecte <link xlink:href=""https://github.com/containers/podman-py"">podman-py</link>, era <link xlink:href=""https:/ /github.com/containers/python-podman"">python-podman</link>.",系统升级,不建議的套件,,"Balíček python-podman je nyní založený na projektu <link xlink:href=""https://github.com/containers/podman-py"">podman-py</link> původně byl založený na <link xlink:href=""https://github.com/containers/python-podman"">python-podman</link>.",,"Pakket python-podman is nu gebaseerd op het project <link xlink:href=""https://github.com/containers/podman-py"">podman-py</link> was <link xlink:href=""https://github.com/containers/python-podman"">python-podman</link>.","This section contains installation-related notes. For detailed installation instructions, see the documentation at <link xlink:href=""https://doc.opensuse.org/documentation/leap/startup/html/book-startup/part-basics.html""/> .",,,,"Le paquet python-podman est maintenant basé sur le projet <link xlink:href=""https://github.com/containers/podman-py"">podman-py</link> qui était <link xlink:href=""https:/ /github.com/containers/python-podman"">python-podman</link>.",,,,Απαρχαιωμένα πακέτα,,,,,Si raccomanda di verificare anche le seguenti sezioni di questa documentazione:,"python-podman パッケージは <link xlink:href=""https://github.com/containers/python-podman"">python-podman</link> プロジェクトをベースにしていましたが、現在は <link xlink:href=""https://github.com/containers/podman-py"">podman-py</link> プロジェクトをベースにするようになりました。",,,,,,,,,,,"O pacote python-podman agora é baseado no projeto <link xlink:href=""https://github.com/containers/podman-py"">podman-py</link> era <link xlink:href=""https://github.com/containers/python-podman"">python-podman</link>.",,,"Пакет python-podman теперь основан на проекте <link xlink:href=""https://github.com/containers/podman-py"">podman-py</link>, был <link xlink:href=""https:/ /github.com/containers/python-podman"">python-podman</link>.",,"Balík python-podman je teraz založený na projekte <link xlink:href=""https://github.com/containers/podman-py"">podman-py</link> bol <link xlink:href=""https://github.com/containers/python-podman"">python-podman</link>.","Paket python-podman je sedaj osnovan na projektu <link xlink:href=""https://github.com/containers/podman-py"">podman-py</link> prej pa je bil osnovan na <link xlink:href=""https://github.com/containers/python-podman"">python-podman</link>.","Asegúrese de comprobar también <xref linkend=""sec.driver""/>.","Paketet python-podman är nu baserat på projektet <link xlink:href=""https://github.com/containers/podman-py"">podman-py</link> var <link xlink:href=""https://github.com/containers/python-podman"">python-podman</link>.",,,,Застарілі пакунки
,لا يزال يتم شحن الحزم الموقوفة كجزء من التوزيعة ولكن تمت جدولة إزالتها الإصدار التالي من أوبن سوزي ليب. توجد هذه الحزم للمساعدة في الترحيل ، ولكن لا يُنصح باستخدامها وقد لا تتلقى تحديثات.,,,,Paquets obsolets,此章节列出了与升级系统相关的注释。想了解支持的升级场景和详细升级指引，请参考文档：,不建議的套件還是會收錄為發行版的一部分，並且在下一版 openSUSE Leap 中會被移除。這些套件存在的原因是為了幫助版本遷移，但不建議使用，而且它們不會再有更新。,,Zastaralé balíčky,,Verouderde pakketten,Using Atomic Updates With the System Role <emphasis>Transactional Server</emphasis>,,,Vanhentuneet paketit,Paquets obsolètes,,,Veraltete Pakete,"Τα παρακάτω πακέτα εξακολουθούν να αποστέλλονται ως μέρος της διανομής, αλλά προγραμματίζεται να καταργηθούν από την επόμενη έκδοση του openSUSE Leap. Αυτά τα πακέτα υπάρχουν για να βοηθήσουν τη μετανάστευση, αλλά η χρήση τους αποθαρρύνεται και ενδέχεται να μην λαμβάνουν ενημερώσεις.",,,,Perubahan Pemaketan,Modifiche relative ai pacchetti,廃止予定のパッケージについて,,,,,,,,,Przestarzałe pakiety,,Pacotes descontinuados,,,Устаревшие пакеты,,Zastarané balíky,Opuščeni paketi,Cambios en el empaquetado,Föråldrade paket,,,,"Застарілі пакунки все ще постачаються у вигляді частини дистрибутиву, але планується, що вони будуть видалені у наступній версії openSUSE Leap. Ці пакунки існують для сприяння міграції, але їхнє використання не рекомендується і для них можуть бути відсутні оновлення."
,للتحقق مما إذا كانت الحزم المثبتة لم تعد محفوظة: تحقق من أن <package>lifecycle-data-openSUSE</package> مثبت، ثم استخدم الأمر:,,,,"Hi ha paquets obsolets que encara s'inclouen com a part de la distribució però hi ha la planificació de suprimir-los a la propera versió de l'openSUSE Leap. Aquests paquets existeixen per ajudar a fer la migració, però se'n desencoratja l'ús i poden no rebre actualitzacions.","请务必查阅 <xref linkend=""sec.driver""/>。",要檢查已安裝的套件是否已不再維護，請先確認是否已安裝 <package>lifecycle-data-openSUSE</package> 套件，接著使用以下指令：,,"Zastaralé balíčky jsou stále posílány jako součást distribuce, ale v další verzi openSUSE Leap se plánuje jejich odstranění. Balíčky existují jako pomoc při migraci, ale jejich používání se nedoporučuje a už nemusejí dostávat opravy.",,"Verouderde pakketten worden nog steeds geleverd als onderdeel van de distributie maar zijn gepland om verwijderd te worden in de volgende versie van openSUSE Leap. Deze pakketten bestaan om migratie te ondersteunen, maar hun gebruik wordt ontmoedigd en ze worden mogelijk niet bijgewerkt.",The installer supports the system role <emphasis>Transactional Server</emphasis>. This system role features an update system that applies updates atomically (as a single operation) and makes them easy to revert should that become necessary. These features are based on the package management tools that all other SUSE and openSUSE distributions also rely on. This means that the vast majority of RPM packages that work with other system roles of openSUSE Leap 15.6 also work with the system role <emphasis>Transactional Server</emphasis>.,,,"Vanhentuneet paketit toimitetaan yhä jakelun osana, mutta ne on merkitty poistettaviksi openSUSE Leapin seuraavassa versiossa. Paketit auttavat siirtämisessä, mutta niitä ei tulisi käyttää eivätkä ne saa päivityksiä.","Les paquets obsolètes sont toujours fournis par la distribution mais sont prévus pour être supprimés dans la prochaine version d'openSUSE Leap. Ces paquets existent pour faciliter la migration, mais leur utilisation est déconseillée et ils peuvent ne pas recevoir de mise à jour.",,,"Veraltete Pakete werden weiterhin als Teil der Distribution ausgeliefert, sollen aber in der nächsten Version von openSUSE Leap entfernt werden. Diese Pakete existieren, um die Migration zu erleichtern, aber von ihrer Verwendung wird abgeraten und sie erhalten möglicherweise keine Updates.","Για να ελέγξετε αν τα εγκατεστημένα πακέτα δεν συντηρούνται πλέον: Βεβαιωθείτε ότι έχει εγκατασταθεί το πακέτο <package>lifecycle-data-openSUSE</package>, στη συνέχεια χρησιμοποιήστε την εντολή:",,,,,Cambiamenti importanti nei pacchetti aggiornati,廃止予定のパッケージは、ディストリビューションの一部として現在も配布されているものの、次期バージョンの openSUSE Leap で削除される予定になっているものを示しています。これらのパッケージは移行を目的として残されていますが、使用は推奨されず、更新を受け取れない可能性があります。,,,,,,,,,"Przestarzałe pakiety są nadal dostarczane jako część dystrybucji, ale planowane jest ich usunięcie w następnej wersji openSUSE Leap. Pakiety te istnieją w celu ułatwienia migracji, ale ich użycie jest odradzane i mogą nie otrzymywać aktualizacji.",,"Os pacotes descontinuados ainda são disponibilizados como parte da distribuição mas estão agendados para serem removidos na próxima versão do openSUSE Leap. Estes pacotes existem para ajudar na migração, mas seu uso é desencorajado e eles podem não receber atualizações.",,,"Устаревшие пакеты по-прежнему поставляются как часть дистрибутива, но будут удалены в следующей версии openSUSE Leap. Они существуют для облегчения миграции, но их использование не рекомендуется и для них могут отсутствовать обновления.",,"Zastarané balíky sú stále dodávané ako súčasť distribúcie, ale je naplánované, že budú odstránené ďalšou verziou openSUSE Leap. Tieto balíky existujú na podporu migrácie, ale odrádza sa ich použitie a nemusia dostávať aktualizácie.","Opuščeni paketi so še vedno del distribucije, vendar bodo odstranjeni v naslednji različici openSUSE Leap. Ti paketi so še na voljo za pomoč pri selitvi, a je njihova uporaba odsvetovana in morda tudi ne bodo prejeli posodobitev.",Cambios importantes en los paquetes actualizados,"Föråldrade paket levereras fortfarande som en del av distributionen, men kommer att plockas bort i nästa version av openSUSE. De finns med för att underlätta övergången, men du bör undvika att använda dem då de inte uppdateras.",,,,"Щоб перевірити, чи мають підтримку встановлені пакунки, переконайтеся, що встановлено <package>lifecycle-data-openSUSE</package>, а потім використовуйте команду:"
