en,vi
"""snd_pcm_mmap_begin problem: %s""","""vấn đề snd_pcm_mmap_begin: %s"""
"""stdin O_NONBLOCK flag setup failed\n""","""cài đặt cờ stdin O_NONBLOCK thất bại\n"""
"""\rPAUSE command ignored (no hw support)\n""",""""""
"""pause push error: %s""","""lỗi dừng đẩy: %s"""
"""pause release error: %s""","""lỗi dừng thả: %s"""
"""""","""\r=== PAUSE ===                                                            """
"""status error: %s""","""lỗi trạng thái: %s"""
"""fatal %s: %s""",""""""
"""underrun""",""""""
"""overrun""",""""""
"""%s!!! (at least %.3f ms long)\n""","""%s!!! (dài ít nhất %.3f)\n"""
"""Status:\n""","""Trạng thái:\n"""
"""xrun: prepare error: %s""","""xrun: lỗi chuẩn bị: %s"""
"""Status(DRAINING):\n""",""""""
"""capture stream format change? attempting recover...\n""","""định dạng luồng thu thay đổi? đang cố gắng phục hồi...\n"""
"""xrun(DRAINING): prepare error: %s""",""""""
"""Status(R/W):\n""","""Trạng thái (R/W):\n"""
"""read/write error, state = %s""","""lỗi đọc/ghi, trạng thái = %s"""
"""Suspended. Trying resume. ""","""Đã ngưng. Đang thử phục hồi. """
"""Failed. Restarting stream. ""","""Thất bại. Đang khởi động lại luồng. """
"""suspend: prepare error: %s""","""ngưng: lỗi chuẩn bị: %s"""
"""Done.\n""","""Đã xong.\n"""
""" !clip  """,""" !clip  """
"""Unsupported bit size %d.\n""","""Không hỗ trợ kích thước bit %d.\n"""
"""Max peak (%li samples): 0x%08x """,""""""
"""""","""Suspicious buffer position (%li total): avail = %li, delay = %li, buffer = """
"""""","""Suspicious status buffer position (%li total): avail = %li, delay = %li, """
"""""","""Suspicious buffer position avail > delay (%li total): avail = %li, delay = """
"""""","""Suspicious status buffer position avail > delay (%li total): avail = %li, """
"""Status(R/W) (standalone avail=%li delay=%li):\n""",""""""
"""write error: %s""","""lỗi ghi: %s"""
"""writev error: %s""","""lỗi writev: %s"""
"""read error: %s""","""lỗi đọc: %s"""
"""readv error: %s""","""lỗi readv: %s"""
"""can't allocate buffer for silence""","""không thể phân phát bộ đệm cho yên lặng"""
"""write error""","""lỗi ghi"""
"""voc_pcm_flush - silence error""","""voc_pcm_flush - lỗi yên lặng"""
"""voc_pcm_flush error""","""lỗi voc_pcm_flush"""
"""malloc error""","""lỗi malloc"""
"""Playing Creative Labs Channel file '%s'...\n""","""Đang phát tập tin Kênh Thử Nghiệm Creative '%s'...\n"""
"""can't play packed .voc files""","""không thể phát các tập tin .voc đã đóng gói"""
"""can't play loops; %s isn't seekable\n""","""không thể phát lặp; không tua được %s\n"""
"""unknown blocktype %d. terminate.""","""kiểu chặn không rõ %d. chấm dứt."""
"""Wave doesn't support %s format...""","""Wave không hỗ trợ định dạng %s..."""
"""Sparc Audio doesn't support %s format...""","""Âm thanh Sparc không hỗ trợ định dạng %s..."""
"""Playing""","""Đang phát"""
"""Recording""","""Đang thu"""
"""Rate %d Hz, ""","""Tốc độ %d Hz, """
"""Mono""","""Đơn kênh"""
"""Stereo""","""Lập thể"""
"""Channels %i""","""Kênh %i"""
"""You need to specify %u files""",""""""
"""You need to specify %d files""","""Bạn cần chỉ định %d tập tin"""
"""aconnect - ALSA sequencer connection manager\n""","""aconnect - trình quản lý kết nối bộ xếp dãy ALSA\n"""
"""Copyright (C) 1999-2000 Takashi Iwai\n""","""Bản quyền (C) 1999-2000 Takashi Iwai\n"""
"""Usage:\n""","""Sử dụng:\n"""
""" * Connection/disconnection between two ports\n""",""" * Kết nối/ngắt kết nối giữa hai cổng\n"""
"""   aconnect [-options] sender receiver\n""","""   aconnect [-tùy_chọn] bộ_gửi bộ_nhận\n"""
"""     sender, receiver = client:port pair\n""","""     bộ gửi, bộ nhận = cặp trạm:cổng\n"""
"""     -d,--disconnect     disconnect\n""","""     -d,--disconnect     ngắt kết nối\n"""
"""     -e,--exclusive      exclusive connection\n""","""     -e,--exclusive      kết nối độc nhất\n"""
"""     -r,--real #         convert real-time-stamp on queue\n""","""     -r,--real #         chuyển đổi real-time-stamp trên hàng đợi\n"""
"""     -t,--tick #         convert tick-time-stamp on queue\n""","""     -t,--tick #         chuyển đổi tick-time-stamp trên hàng đợi\n"""
""" * List connected ports (no subscription action)\n""",""" * Liệt kê các cổng đã kết nối (không có hành động đăng ký)\n"""
"""   aconnect -i|-o [-options]\n""","""   aconnect -i|-o [-tùy_chọn]\n"""
"""     -i,--input          list input (readable) ports\n""","""     -i,--input          liệt kê các cổng vào (đọc được)\n"""
"""     -o,--output         list output (writable) ports\n""","""     -o,--output         liệt kê các cổng ra (ghi được)\n"""
"""     -l,--list           list current connections of each port\n""","""     -l,--list           liệt kê các kết nối hiện tại tới mỗi cổng\n"""
""" * Remove all exported connections\n""",""" * Xóa bỏ tất cả các cổng đã xuất\n"""
"""     -x, --removeall\n""","""     -x, --removeall\n"""
"""Connecting To""","""Đang kết nối tới"""
"""Connected From""","""Đã kết nối từ"""
"""client %d: '%s' [type=%s""",""""""
"""user""","""người dùng"""
"""kernel""","""nhân"""
"""can't open sequencer\n""","""không thể mở bộ xếp dãy\n"""
"""can't get client id\n""","""không thể lấy id trạm khách\n"""
"""can't set client info\n""","""không thể lấy thông tin trạm khách\n"""
"""invalid sender address %s\n""","""địa chỉ bộ gửi %s không hợp lệ\n"""
"""invalid destination address %s\n""","""địa chỉ đích %s không hợp lệ\n"""
"""No subscription is found\n""","""Không tìm thấy đăng ký nào\n"""
"""Disconnection failed (%s)\n""","""Ngắt kết nối thất bại (%s)\n"""
"""Connection is already subscribed\n""","""Kết nối đã được đăng ký\n"""
"""Connection failed (%s)\n""","""Kết nối thất bại (%s)\n"""
"""aseqnet - network client/server on ALSA sequencer\n""","""aseqnet - trạm khách/máy chủ mạng trên bộ xếp dãy ALSA\n"""
"""  Copyright (C) 1999 Takashi Iwai\n""","""  Bản quyền (C) 1999 Takashi Iwai\n"""
"""usage:\n""","""sử dụng:\n"""
"""  server mode: aseqnet [-options]\n""","""  chế độ máy chủ: aseqnet [-tùy chọn]\n"""
"""  client mode: aseqnet [-options] server_host\n""","""  chế độ trạm khách: aseqnet [-tùy chọn] máy_chủ\n"""
"""options:\n""","""tùy chọn:\n"""
"""  -6,--ipv6 : use IPv6 TCP protocol\n""",""""""
"""  -p,--port # : specify TCP port (digit or service name)\n""",""""""
"""  -s,--source addr : read from given addr (client:port)\n""","""  -s,--source addr : đọc từ địa chỉ đã cho (trạm_khách:cổng)\n"""
"""  -d,--dest addr : write to given addr (client:port)\n""","""  -d,--dest addr : ghi vào địa chỉ đã cho (trạm_khách:cổng)\n"""
"""  -n,--name value : use a specific midi process name\n""",""""""
"""  -v, --verbose : print verbose messages\n""","""  -v, --verbose : hiện tin chi tiết\n"""
"""  -i, --info : print certain received events\n""","""  -i, --info : hiện các sự kiện đã nhận nhất định\n"""
"""can't malloc\n""","""không thể malloc\n"""
"""closing files..\n""","""đang đóng tập tin..\n"""
"""sequencer opened: %d:%d\n""","""bộ xếp dãy đã mở: %d:%d\n"""
"""invalid source address %s\n""","""địa chỉ nguồn %s không hợp lệ\n"""
"""can't get address\n""",""""""
"""connecting to: %s\n""",""""""
"""too many connections!\n""","""quá nhiều kết nối!\n"""
"""accepted[%d]\n""","""đã chấp nhận[%d]\n"""
"""can't get address %s\n""","""không thể lấy địa chỉ %s\n"""
"""ok.. connected\n""","""ok.. đã kết nối\n"""
"""Channel %2d: Control event : %5d\n""",""""""
"""Channel %2d: Pitchbender   : %5d\n""",""""""
"""Channel %2d: Note On event : %5d\n""",""""""
"""Channel %2d: Note Off event: %5d\n""",""""""
"""disconnected\n""","""đã ngắt kết nối\n"""
"""Front Left""","""Trái trước"""
"""Front Right""","""Phải trước"""
"""Rear Left""","""Trái sau"""
"""Rear Right""","""Phải sau"""
"""LFE""",""""""
"""Side Left""","""Bên trái"""
"""Side Right""","""Bên phải"""
"""Channel 9""","""Kênh 9"""
"""Channel 10""","""Kênh 10"""
"""Channel 11""","""Kênh 11"""
"""Channel 12""","""Kênh 12"""
"""Channel 13""","""Kênh 13"""
"""Channel 14""","""Kênh 14"""
"""Channel 15""","""Kênh 15"""
"""Channel 16""","""Kênh 16"""
"""Broken configuration for playback: no configurations available: %s\n""","""Cấu hình phát lại hỏng: không có cấu hình sẵn sàng: %s\n"""
"""Access type not available for playback: %s\n""","""Kiểu truy cập không sẵn sàng cho phát lại: %s\n"""
"""Sample format not available for playback: %s\n""","""Định dạng mẫu không sẵn sàng cho phát lại: %s\n"""
"""Channels count (%i) not available for playbacks: %s\n""","""Đếm kênh (%i) không sẵn sàng cho phát lại: %s\n"""
"""Rate %iHz not available for playback: %s\n""","""Tốc độ %iHz không sẵn sàng cho phát lại: %s\n"""
"""Rate doesn't match (requested %iHz, get %iHz, err %d)\n""","""Tốc độ không khớp (đã yêu cầu %iHz, nhận %iHz, lỗi %d)\n"""
"""Rate set to %iHz (requested %iHz)\n""","""Tốc độ đặt thành %iHz (đã yêu cầu %iHz)\n"""
"""Buffer size range from %lu to %lu\n""","""Kích thước đệm trong vùng từ %lu tới %lu\n"""
"""Period size range from %lu to %lu\n""","""Kích thước chu kỳ trong vùng từ %lu tới %lu\n"""
"""Requested period time %u us\n""","""Đã yêu cầu thời gian chu kỳ %u µs\n"""
"""Unable to set period time %u us for playback: %s\n""","""Không thể đặt thời gian chu kỳ %u µs cho phát lại: %s\n"""
"""Requested buffer time %u us\n""","""Đã yêu cầu thời gian đệm %u µs\n"""
"""Unable to set buffer time %u us for playback: %s\n""","""Không thể đặt thời gian đệm %u µs cho phát lại: %s\n"""
"""Using max buffer size %lu\n""","""Sử dụng kích thước bộ đệm lớn nhất %lu\n"""
"""Unable to set buffer size %lu for playback: %s\n""","""Không thể đặt kích thước bộ đệm %lu cho phát lại: %s\n"""
"""Periods = %u\n""",""""""
"""Unable to set nperiods %u for playback: %s\n""",""""""
"""Unable to set hw params for playback: %s\n""","""Không thể đặt các tham số phần cứng cho phát lại: %s\n"""
"""was set period_size = %lu\n""",""""""
"""was set buffer_size = %lu\n""",""""""
"""buffer to small, could not use\n""","""bộ đệm quá nhỏ, không thể sử dụng\n"""
"""Unable to determine current swparams for playback: %s\n""","""Không thể quyết định tham số phần mềm hiện tại cho phát lại: %s\n"""
"""Unable to set start threshold mode for playback: %s\n""","""Không thể đặt bắt đầu chế độ ngưỡng cho phát lại: %s\n"""
"""Unable to set avail min for playback: %s\n""",""""""
"""Unable to set sw params for playback: %s\n""","""Không thể đặt tham số phần mềm cho phát lại: %s\n"""
"""Unable to set channel map: %s\n""",""""""
"""Can't recovery from underrun, prepare failed: %s\n""","""Không thể phục hồi từ chạy nền, chuẩn bị thất bại: %s\n"""
"""Can't recovery from suspend, prepare failed: %s\n""","""Không thể phục hồi từ ngưng, chuẩn bị thất bại: %s\n"""
"""No enough memory\n""","""Không đủ bộ nhớ\n"""
"""Cannot open WAV file %s\n""","""Không thể mở tập tin WAV %s\n"""
"""Invalid WAV file %s\n""","""Tập tin WAV %s không hợp lệ\n"""
"""Not a WAV file: %s\n""","""Không phải tập tin WAV: %s\n"""
"""Unsupported WAV format %d for %s\n""","""Không hỗ trợ định dạng WAV %d cho %s\n"""
"""%s is not a mono stream (%d channels)\n""","""%s không phải một luồng đơn kênh (%d kênh)\n"""
"""Sample rate doesn't match (%d) for %s\n""","""Tốc độ mẫu không khớp (%d) cho %s\n"""
"""Unsupported sample format bits %d for %s\n""","""Không hỗ trợ bit định dạng mẫu %d cho %s\n"""
"""Undefined channel %d\n""","""Chưa định nghĩa kênh %d\n"""
"""Write error: %d,%s\n""","""Lỗi ghi: %d, %s\n"""
"""xrun_recovery failed: %d,%s\n""","""xrun_recovery thất bại: %d,%s\n"""
"""""","""Usage: speaker-test [OPTION]... \n"""
"""Invalid number of periods %d\n""",""""""
"""Invalid test type %s\n""","""Kiểu kiểm tra %s không hợp lệ\n"""
"""Unknown option '%c'\n""","""Tùy chọn không rõ '%c'\n"""
"""Invalid parameter for -s option.\n""","""Tham số không hợp lệ cho tùy chọn -s.\n"""
"""Playback device is %s\n""","""Thiết bị phát lại là %s\n"""
"""Stream parameters are %iHz, %s, %i channels\n""","""Tham số luồng là %iHz, %s, %i kênh\n"""
"""Using 16 octaves of pink noise\n""","""Sử dụng 15 quãng tám của âm hồng\n"""
"""Sine wave rate is %.4fHz\n""","""Tốc độ sóng sin là %.4fHz\n"""
"""WAV file(s)\n""","""tập tin WAV\n"""
"""Playback open error: %d,%s\n""","""Lỗi mở phát lại: %d, %s\n"""
"""Setting of hwparams failed: %s\n""","""Thiết lập tham số phần cứng thất bại: %s\n"""
"""Setting of swparams failed: %s\n""","""Thiết lập tham số phần mềm thất bại: %s\n"""
"""Transfer failed: %s\n""","""Truyền thất bại: %s\n"""
"""Time per period = %lf\n""",""""""
