en,be
"""Cell phones""","""Мабільны тэлефон"""
"""Media player""","""Media players"""
"""Media players""","""Медыяплэер"""
"""Tablet""","""Tablets"""
"""Tablets""","""Планшэт"""
"""Computer""","""Computers"""
"""Computers""","""Камп'ютар"""
"""Lithium Ion""","""Літый-іонная"""
"""Lithium Polymer""","""Літый-палімерная"""
"""Lithium Iron Phosphate""","""Літый-жалеза-фасфатная"""
"""Lead acid""","""Свінцова-кіслотная"""
"""Nickel Cadmium""","""Нікель-кадміевая"""
"""Nickel metal hydride""","""Нікель-метал-гідрыдная"""
"""Unknown technology""","""Невядомая тэхналогія"""
"""Charging""","""Зараджаецца"""
"""Discharging""","""Разраджаецца"""
"""Empty""","""Разраджана"""
"""Charged""","""Зараджана"""
"""Waiting to charge""","""У чаканні зарадкі"""
"""Waiting to discharge""","""У чаканні разрадкі"""
"""Unknown""","""Невядома"""
"""Attribute""","""Атрыбут"""
"""Value""","""Значэнне"""
"""Image""","""Відарыс"""
"""Description""","""Апісанне"""
"""%.0f second""","""%.0f seconds"""
"""%.0f seconds""","""%.0f секунда"""
"""%.1f minute""","""%.1f minutes"""
"""%.1f minutes""","""%.1f хвіліна"""
"""%.1f hour""","""%.1f hours"""
"""%.1f hours""","""%.1f гадзіна"""
"""%.1f day""","""%.1f days"""
"""%.1f days""","""%.1f дзень"""
"""Yes""","""Так"""
"""No""","""Не"""
"""Device""","""Прылада"""
"""Type""","""Тып"""
"""Vendor""","""Пастаўшчык"""
"""Model""","""Мадэль"""
"""Serial number""","""Серыйны нумар"""
"""Supply""","""Крыніца энергіі"""
"""%u second""","""%u seconds"""
"""%u seconds""",""""""
"""Refreshed""","""Абноўлена"""
"""Present""","""Прысутнічае"""
"""Rechargeable""","""Перазараджаемы"""
"""State""","""Стан"""
"""Energy""","""Энергія"""
"""Energy when empty""","""Энергія пры разрадцы"""
"""Energy when full""","""Энергія пры поўнай зарадцы"""
"""Energy (design)""","""Энергія (пачатковая)"""
"""Voltage""","""Напружанне"""
"""Percentage""","""Працэнт"""
"""Capacity""","""Ёмістасць"""
"""Technology""","""Тэхналогія"""
"""Online""","""Падключана"""
"""Device Information""","""Звесткі аб прыладзе"""
"""Device History""","""Журнал прылады"""
"""Device Profile""","""Профіль прылады"""
"""Time elapsed""","""Час"""
"""Power""","""Сілкаванне"""
"""Cell charge""","""Зарад ячэйкі"""
"""Predicted time""","""Прадказаны час"""
"""Correction factor""","""Карэкцыя"""
"""Prediction accuracy""","""Дакладнасць прадказання"""
"""Show extra debugging information""","""Паказваць дадатковую адладачную інфармацыю"""
"""Select this device at startup""","""Выбраць гэтую прыладу пасля запуску"""
"""Details""","""Падрабязнасці"""
"""Graph type:""","""Тып графіка:"""
"""Data length:""","""Працягласць даных:"""
"""There is no data to display.""","""Няма даных для паказу."""
"""Use smoothed line""","""Выкарыстоўваць згладжванне"""
"""Show data points""","""Паказваць пункты даных"""
"""History""","""Гісторыя"""
"""Statistics""","""Статыстыка"""
